t,x1,y1,x2,y2,x3,y3
2.20,-1.43211511373755095988,-0.25547012984217487563,0.46579661514499576258,1.32446803390915102128,0.88510733692090992619,-1.10914081931924313196
2.22,-1.44037485945561405387,-0.24337670961578761197,0.47980007462647422667,1.32502628156671353743,0.87798944132097811455,-1.12209548664973701726
2.24,-1.44851054646051791153,-0.23126097365893810709,0.49375573474952944020,1.32546640426696660242,0.87078805019507887764,-1.13494922513781859585
2.26,-1.45652295123438269009,-0.21912423746127157598,0.50766288914260992993,1.32578977526835517509,0.86350475064052700791,-1.14770206661662177439
2.28,-1.46441285124926334760,-0.20696779176804275258,0.52152085312904961079,1.32599775533550401363,0.85614110785787611579,-1.16035405643962574729
2.30,-1.47218102496714942085,-0.19479290258011569548,0.53532896372706861854,1.32609169273921789767,0.84869866515091907377,-1.17290525348065455269
2.32,-1.47982825183996435925,-0.18260081115396403773,0.54908657964977169996,1.32607292325648185027,0.84117894392668790537,-1.18535573013387773855
2.34,-1.48735531230956707915,-0.17039273400166984884,0.56279308130515104391,1.32594277017045980571,0.83358344369545323005,-1.19770557231381125085
2.36,-1.49476298780774974340,-0.15816986289092566098,0.57644787079608295066,1.32570254427049660784,0.82591364207072515136,-1.20995487945531454699
2.38,-1.50205206075624042583,-0.14593336484503263706,0.59005037192033027438,1.32535354385211601169,0.81817099476925259083,-1.22210376451359348238
2.40,-1.50922331456670066885,-0.13368438214290159771,0.60360003017054120189,1.32489705471702268191,0.81035693561102395410,-1.23415235396419920022
2.42,-1.51627753364072681563,-0.12142403231905266048,0.61709631273424958575,1.32433435017310019433,0.80247287651926602070,-1.24610078780302790946
2.44,-1.52321550336984978813,-0.10915340816361515652,0.63053870849387538833,1.32366669103441259026,0.79452020752044516527,-1.25794921954632110683
2.46,-1.53003801013553486499,-0.09687357772232776942,0.64392672802672390464,1.32289532562120326631,0.78650029674426658044,-1.26969781623066579890
2.48,-1.53674584130918234770,-0.08458558429653878497,0.65725990360498609544,1.32202148975989608459,0.77841449042367472089,-1.28134675841299405796
2.50,-1.54333978525212622834,-0.07229044644320570256,0.67053778919573869821,1.32104640678309426249,0.77026411289485285927,-1.29289624017058324412
2.52,-1.54982063131563574387,-0.05998915797489473567,0.68375996046094467129,1.31997128752958126086,0.76205046659722319724,-1.30434646910105711548
2.54,-1.55618916984091404387,-0.04768268795978247709,0.69692601475745186157,1.31879733034431989580,0.75377483207344742056,-1.31569766632238294157
2.56,-1.56244619215909930077,-0.03537198072165426144,0.71003557113699422576,1.31752572107845367100,0.74543846796942614397,-1.32695006647287483403
2.58,-1.56859249059126359960,-0.02305795583990494224,0.72308827034619116425,1.31615763308930500131,0.73704261103429880020,-1.33810391771119086002
2.60,-1.57462885844841427030,-0.01074150814953844790,0.73608377482654852031,1.31469422724037698913,0.72858847612044397302,-1.34915948171633592878
2.62,-1.58055609003149277747,0.00157649225883182975,0.74902176871445691475,1.31313665190135187011,0.72007725618347939722,-1.36011703368765912714
2.64,-1.58637494018168601073,0.01389513803587184675,0.76190188300910588470,1.31148604178351346761,0.71151015777877713031,-1.37097679409175365883
2.66,-1.59208614496646450043,0.02621352691349803157,0.77472374293368151399,1.30974351280358303207,0.70288837328350528555,-1.38173896899118742176
2.68,-1.59769046834911421229,0.03853082598320341223,0.78748704806649216792,1.30791016734081932960,0.69421304651354431847,-1.39240382508938065342
2.70,-1.60318867040021251213,0.05084621700573228181,0.80019150843219022384,1.30598709653686206877,0.68548530601829216202,-1.40297163304955274654
2.72,-1.60858150729762860998,0.06315889641108136943,0.81283684450177318137,1.30397538029573056839,0.67670626508066411553,-1.41344266749472291522
2.74,-1.61386973132652289387,0.07546807529849818008,0.82542278719258255215,1.30187608728382464562,0.66787702171709406596,-1.42381720700770908472
2.76,-1.61905409087934670787,0.08777297943648207368,0.83794907786830441498,1.29969027492992417194,0.65899865867753293358,-1.43409553413112877962
2.78,-1.62413533045584368431,0.10007284926278392501,0.85041546833896930480,1.29741898942518907312,0.65007224344544989325,-1.44427793536739867974
2.80,-1.62911419066304885561,0.11236693988440633885,0.86282172086095232366,1.29506326572316021739,0.64109882823783170824,-1.45436470117873506425
2.82,-1.63399140821528821022,0.12465452107760327527,0.87516760813697280774,1.29262412753975763913,0.63207945000518273027,-1.46435612598715314547
2.84,-1.63876771593417935868,0.13693487728788061863,0.88745291331609510443,1.29010258735328253721,0.62301513043152523252,-1.47425250817446817919
2.86,-1.64344384274863197781,0.14920730762999531716,0.89967742999372735113,1.28749964640441594277,0.61390687593439952074,-1.48405415008229391027
2.88,-1.64802051369484670040,0.16147112588795647925,0.91184096221162280749,1.28481629469621871920,0.60475567766486293397,-1.49376135801204390496
2.90,-1.65249844991631533730,0.17372566051502444373,0.92394332445787874519,1.28205351099413245031,0.59556251150749128787,-1.50337444222493066270
2.92,-1.65687836866382198764,0.18597025463371125165,0.93598434166693689207,1.27921226282597899626,0.58632833808037787549,-1.51289371694196672635
2.94,-1.66116098329544192858,0.19820426603578047975,0.94796384921958409819,1.27629350648195982743,0.57705410273513368935,-1.52231950034396312788
2.96,-1.66534700327654139329,0.21042706718224735152,0.95988169294295078160,1.27329818701465735664,0.56774073555688742143,-1.53165211457153094265
2.98,-1.66943713417977845914,0.22263804520337843185,0.97173772911051248258,1.27022723823903382900,0.55838915136428590724,-1.54089188572507995723
3.00,-1.67343207768510304767,0.23483660189869209889,0.98353182444208886448,1.26708158273243154390,0.54900024970949345970,-1.55003914386481955745
3.02,-1.67733253157975625847,0.24702215373695865508,0.99526385610384460190,1.26386213183457329912,0.53957491487819186915,-1.55909422301075872852
3.04,-1.68113918975827036917,0.25919413185619932793,1.00693371170828815941,1.26056978564756194672,0.53011401588958118047,-1.56805746114270538882
3.06,-1.68485274222246972364,0.27135198206368715823,1.01854128931427290183,1.25720543303588083717,0.52061840649637902700,-1.57692920020026705608
3.08,-1.68847387508146939972,0.28349516483594683347,1.03008649742699631702,1.25376995162639315318,0.51108892518482096357,-1.58570978608285018119
3.10,-1.69200327055167676349,0.29562315531875460461,1.04156925499800045998,1.25026420780834235380,0.50152639517465991137,-1.59439956864966081440
3.12,-1.69544160695679035911,0.30773544332713892446,1.05298949142517317412,1.24668905673335239648,0.49193162441916638006,-1.60299890171970482733
3.14,-1.69878954847991825439,0.31983149455714854348,1.06434710785646968745,1.24304535446336528182,0.48230543549294851990,-1.61150811400504956339
3.16,-1.70204774803334579758,0.33191077618502767832,1.07564200062927506352,1.23933394662359996907,0.47264864388038596577,-1.61992752476913071114
3.18,-1.70521686069248357143,0.34397279761670479514,1.08687410336162915137,1.23555565792193977614,0.46296202793769986039,-1.62825747677852561424
3.20,-1.70829753696938269059,0.35601707674967519868,1.09804335447324752373,1.23171130458567823496,0.45324635600531049118,-1.63649831300071113560
